,cell_type,sex,race,count,percentage
442,lymphocyte,female,Asian,13,0.0013362992323474872
443,natural killer cell,female,Asian,266,0.027342738138802426
444,"CD4-positive, alpha-beta T cell",female,Asian,906,0.09312977726975565
445,"CD8-positive, alpha-beta T cell",female,Asian,315,0.032379558322266036
446,plasmacytoid dendritic cell,female,Asian,7,0.0007195457404948008
447,classical monocyte,female,Asian,391,0.040191769219066725
448,non-classical monocyte,female,Asian,126,0.012951823328906414
449,plasmablast,female,Asian,6,0.0006167534918526863
450,conventional dendritic cell,female,Asian,28,0.0028781829619792033
451,progenitor cell,female,Asian,1,0.00010279224864211439
452,B cell,female,European,751,0.0771969787302279
453,lymphocyte,female,European,22,0.002261429470126517
454,natural killer cell,female,European,1365,0.14031141939648614
455,"CD4-positive, alpha-beta T cell",female,European,4539,0.4665740165865573
456,"CD8-positive, alpha-beta T cell",female,European,965,0.09919451993964039
457,plasmacytoid dendritic cell,female,European,55,0.005653573675316292
458,classical monocyte,female,European,2108,0.21668606013757713
459,non-classical monocyte,female,European,494,0.050779370829204515
460,plasmablast,female,European,3,0.00030837674592634317
461,conventional dendritic cell,female,European,184,0.01891377375014905
462,progenitor cell,female,European,6,0.0006167534918526863
463,B cell,female,Asian,809,0.08315892915147055
464,lymphocyte,female,Asian,35,0.003597728702474004
465,natural killer cell,female,Asian,375,0.0385470932407929
466,"CD4-positive, alpha-beta T cell",female,Asian,2419,0.24865444946527474
467,"CD8-positive, alpha-beta T cell",female,Asian,1059,0.10885699131199915
468,plasmacytoid dendritic cell,female,Asian,12,0.0012335069837053727
469,classical monocyte,female,Asian,992,0.10196991065297747
470,non-classical monocyte,female,Asian,276,0.028370660625223573
471,plasmablast,female,Asian,11,0.0011307147350632584
472,conventional dendritic cell,female,Asian,103,0.010587601610137783
473,progenitor cell,female,Asian,2,0.00020558449728422877
474,B cell,female,European,388,0.039883392473140385
475,lymphocyte,female,European,11,0.0011307147350632584
476,natural killer cell,female,European,90,0.009251302377790297
477,"CD4-positive, alpha-beta T cell",female,European,889,0.0913823090428397
478,"CD8-positive, alpha-beta T cell",female,European,258,0.026520400149665512
479,plasmacytoid dendritic cell,female,European,8,0.0008223379891369151
480,classical monocyte,female,European,867,0.08912087957271318
481,non-classical monocyte,female,European,294,0.03022092110078163
482,plasmablast,female,European,1,0.00010279224864211439
483,conventional dendritic cell,female,European,54,0.005550781426674177
484,progenitor cell,female,European,5,0.000513961243210572
485,B cell,female,European,402,0.04132248395412999
486,lymphocyte,female,European,5,0.000513961243210572
487,natural killer cell,female,European,229,0.023539424939044196
488,"CD4-positive, alpha-beta T cell",female,European,1591,0.163542467589604
489,"CD8-positive, alpha-beta T cell",female,European,461,0.04738722662401473
