,cell_type,sex,race,count,percentage
309,mature NK T cell,female,European,2,0.0007382580064080795
310,regulatory T cell,female,European,169,0.062382801541482714
311,classical monocyte,female,European,2078,0.7670500686579946
312,non-classical monocyte,female,European,232,0.08563792874333723
313,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,1357,0.5009080573478819
314,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,785,0.2897662675151712
315,"central memory CD8-positive, alpha-beta T cell",female,European,200,0.07382580064080795
316,"effector memory CD8-positive, alpha-beta T cell",female,European,50,0.018456450160201986
317,"CD4-positive, alpha-beta cytotoxic T cell",female,European,10,0.003691290032040397
318,"CD16-negative, CD56-bright natural killer cell, human",female,European,103,0.03802028733001609
319,mucosal invariant T cell,female,European,278,0.10261786289072306
320,class switched memory B cell,female,European,200,0.07382580064080795
321,plasmablast,female,European,1,0.00036912900320403973
322,conventional dendritic cell,female,European,121,0.04466460938768881
323,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,European,27,0.009966483086509072
324,innate lymphoid cell,female,European,8,0.002953032025632318
325,hematopoietic precursor cell,female,European,9,0.003322161028836358
326,native cell,female,unknown,4,0.001476516012816159
327,platelet,female,unknown,210,0.07751709067284834
328,B cell,female,unknown,12,0.004429548038448477
329,CD4-positive helper T cell,female,unknown,907,0.334800005906064
330,natural killer cell,female,unknown,687,0.2535916252011753
331,plasmacytoid dendritic cell,female,unknown,7,0.0025839030224282782
332,plasma cell,female,unknown,5,0.0018456450160201985
333,naive B cell,female,unknown,855,0.315605297739454
334,"CD8-positive, alpha-beta cytotoxic T cell",female,unknown,164,0.060537156525462515
335,gamma-delta T cell,female,unknown,33,0.012181257105733312
336,mature NK T cell,female,unknown,4,0.001476516012816159
337,regulatory T cell,female,unknown,94,0.03469812630117974
338,classical monocyte,female,unknown,508,0.1875175336276522
339,non-classical monocyte,female,unknown,44,0.016241676140977747
340,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,1710,0.631210595478908
341,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,345,0.12734950610539372
342,"central memory CD8-positive, alpha-beta T cell",female,unknown,119,0.04392635138128073
343,"effector memory CD8-positive, alpha-beta T cell",female,unknown,19,0.007013451060876755
344,"CD4-positive, alpha-beta cytotoxic T cell",female,unknown,41,0.015134289131365629
345,"CD16-negative, CD56-bright natural killer cell, human",female,unknown,15,0.005536935048060596
346,mucosal invariant T cell,female,unknown,43,0.01587254713777371
347,class switched memory B cell,female,unknown,105,0.03875854533642417
348,conventional dendritic cell,female,unknown,17,0.006275193054468675
349,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,unknown,17,0.006275193054468675
350,innate lymphoid cell,female,unknown,1,0.00036912900320403973
351,hematopoietic precursor cell,female,unknown,7,0.0025839030224282782
352,native cell,female,East Asian,11,0.004060419035244437
353,erythrocyte,female,East Asian,159,0.058691511509442316
354,platelet,female,East Asian,1,0.00036912900320403973
355,CD4-positive helper T cell,female,East Asian,2165,0.7991642919367461
356,natural killer cell,female,East Asian,5,0.0018456450160201985
357,plasma cell,female,East Asian,10,0.003691290032040397
358,naive B cell,female,East Asian,1,0.00036912900320403973
359,"CD8-positive, alpha-beta cytotoxic T cell",female,East Asian,12,0.004429548038448477
360,gamma-delta T cell,female,East Asian,3,0.0011073870096121193
361,regulatory T cell,female,East Asian,354,0.13067166713423006
362,classical monocyte,female,East Asian,195,0.07198015562478774
363,non-classical monocyte,female,East Asian,339,0.1251347320861695
364,"naive thymus-derived CD4-positive, alpha-beta T cell",female,East Asian,1564,0.5773177610111182
365,"naive thymus-derived CD8-positive, alpha-beta T cell",female,East Asian,186,0.0686579945959514
366,"central memory CD8-positive, alpha-beta T cell",female,East Asian,58,0.021409482185834307
367,"effector memory CD8-positive, alpha-beta T cell",female,East Asian,9,0.003322161028836358
368,"CD4-positive, alpha-beta cytotoxic T cell",female,East Asian,7,0.0025839030224282782
369,"CD16-negative, CD56-bright natural killer cell, human",female,East Asian,2,0.0007382580064080795
370,mucosal invariant T cell,female,East Asian,22,0.008120838070488873
371,class switched memory B cell,female,East Asian,4,0.001476516012816159
372,plasmablast,female,East Asian,1,0.00036912900320403973
373,native cell,female,European,125,0.04614112540050497
374,erythrocyte,female,European,2,0.0007382580064080795
375,platelet,female,European,90,0.033221610288363575
376,B cell,female,European,14,0.0051678060448565565
377,dendritic cell,female,European,1,0.00036912900320403973
378,CD4-positive helper T cell,female,European,1872,0.6910094939979624
379,natural killer cell,female,European,2269,0.8375537082699662
380,plasmacytoid dendritic cell,female,European,48,0.01771819215379391
381,plasma cell,female,European,3,0.0011073870096121193
382,naive B cell,female,European,142,0.05241631845497364
383,"CD8-positive, alpha-beta cytotoxic T cell",female,European,3757,1.3868176650375774
384,gamma-delta T cell,female,European,37,0.01365777311854947
385,mature NK T cell,female,European,13,0.004798677041652517
386,regulatory T cell,female,European,220,0.08120838070488874
387,classical monocyte,female,European,1878,0.6932242680171866
388,non-classical monocyte,female,European,464,0.17127585748667445
389,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,1206,0.4451695778640719
390,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,71,0.02620815922748682
391,"central memory CD8-positive, alpha-beta T cell",female,European,385,0.14211466623355531
392,"effector memory CD8-positive, alpha-beta T cell",female,European,83,0.030637707265935295
393,"CD4-positive, alpha-beta cytotoxic T cell",female,European,795,0.2934575575472116
394,"CD16-negative, CD56-bright natural killer cell, human",female,European,189,0.0697653816055635
395,mucosal invariant T cell,female,European,68,0.0251007722178747
396,class switched memory B cell,female,European,45,0.016610805144181787
397,conventional dendritic cell,female,European,96,0.03543638430758782
398,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,European,178,0.06570496257031908
399,innate lymphoid cell,female,European,17,0.006275193054468675
400,hematopoietic precursor cell,female,European,16,0.005906064051264636
401,native cell,female,South Asian,25,0.009228225080100993
402,erythrocyte,female,South Asian,13,0.004798677041652517
403,platelet,female,South Asian,103,0.03802028733001609
404,B cell,female,South Asian,192,0.07087276861517564
405,CD4-positive helper T cell,female,South Asian,666,0.2458399161338905
